path,file,name,kind,date,type,duration,transcription_doc,transcription_txt,transcription_json
2022/Henryk 2022-07-03 Bajka o wielkiej niespodziance.m4a,Henryk 2022-07-03 Bajka o wielkiej niespodziance.m4a,Bajka o wielkiej niespodziance,Henryk,2022-07-03,m4a,875.861333,Henryk 2022-07-03 Bajka o wielkiej niespodziance.docx,Henryk 2022-07-03 Bajka o wielkiej niespodziance.txt,Henryk 2022-07-03 Bajka o wielkiej niespodziance.json
2022/Henryk 2022-07-04 Bajka o Wiewiórce.m4a,Henryk 2022-07-04 Bajka o Wiewiórce.m4a,Bajka o Wiewiórce,Henryk,2022-07-04,m4a,484.623673,Henryk 2022-07-04 Bajka o Wiewiórce.docx,Henryk 2022-07-04 Bajka o Wiewiórce.txt,Henryk 2022-07-04 Bajka o Wiewiórce.json
2022/Henryk 2022-07-05 Bajka o pogodowym królestwie.m4a,Henryk 2022-07-05 Bajka o pogodowym królestwie.m4a,Bajka o pogodowym królestwie,Henryk,2022-07-05,m4a,573.952000,Henryk 2022-07-05 Bajka o pogodowym królestwie.docx,Henryk 2022-07-05 Bajka o pogodowym królestwie.txt,Henryk 2022-07-05 Bajka o pogodowym królestwie.json
2022/Henryk 2022-07-06 Bajka o Choince.m4a,Henryk 2022-07-06 Bajka o Choince.m4a,Bajka o Choince,Henryk,2022-07-06,m4a,651.273288,Henryk 2022-07-06 Bajka o Choince.docx,Henryk 2022-07-06 Bajka o Choince.txt,Henryk 2022-07-06 Bajka o Choince.json
2022/Henryk 2022-07-07 Bajka o Ciuchci.m4a,Henryk 2022-07-07 Bajka o Ciuchci.m4a,Bajka o Ciuchci,Henryk,2022-07-07,m4a,519.872000,Henryk 2022-07-07 Bajka o Ciuchci.docx,Henryk 2022-07-07 Bajka o Ciuchci.txt,Henryk 2022-07-07 Bajka o Ciuchci.json
2022/Henryk 2022-07-08 Bajka o jelonku.m4a,Henryk 2022-07-08 Bajka o jelonku.m4a,Bajka o jelonku,Henryk,2022-07-08,m4a,530.240000,Henryk 2022-07-08 Bajka o jelonku.docx,Henryk 2022-07-08 Bajka o jelonku.txt,Henryk 2022-07-08 Bajka o jelonku.json
2022/Henryk 2022-07-11 Bajka o Filemonie i Bonifacym.m4a,Henryk 2022-07-11 Bajka o Filemonie i Bonifacym.m4a,Bajka o Filemonie i Bonifacym,Henryk,2022-07-11,m4a,813.610667,Henryk 2022-07-11 Bajka o Filemonie i Bonifacym.docx,Henryk 2022-07-11 Bajka o Filemonie i Bonifacym.txt,Henryk 2022-07-11 Bajka o Filemonie i Bonifacym.json
2022/Henryk 2022-07-12 Puchatek i pszczoły.m4a,Henryk 2022-07-12 Puchatek i pszczoły.m4a,Puchatek i pszczoły,Henryk,2022-07-12,m4a,848.554667,Henryk 2022-07-12 Puchatek i pszczoły.docx,Henryk 2022-07-12 Puchatek i pszczoły.txt,Henryk 2022-07-12 Puchatek i pszczoły.json
2022/Henryk 2022-07-13 Puchatek utknął.m4a,Henryk 2022-07-13 Puchatek utknął.m4a,Puchatek utknął,Henryk,2022-07-13,m4a,844.927710,Henryk 2022-07-13 Puchatek utknął.docx,Henryk 2022-07-13 Puchatek utknął.txt,Henryk 2022-07-13 Puchatek utknął.json
2022/Henryk 2022-07-14 Ja Bonifacy.m4a,Henryk 2022-07-14 Ja Bonifacy.m4a,Ja Bonifacy,Henryk,2022-07-14,m4a,719.658667,Henryk 2022-07-14 Ja Bonifacy.docx,Henryk 2022-07-14 Ja Bonifacy.txt,Henryk 2022-07-14 Ja Bonifacy.json
